window_size,time_delta,flags_urg,ack,stream,checksum_status,seq,len,flags_res,hdr_len,dstport,flags_push,flags_ns,flags_ack,time_relative,flags_fin,port,window_size_value,flags_ecn,nxtseq,srcport,urgent_pointer,flags_syn,flags_cwr,flags_reset,class
512,0,0,1484526999,0,2,1,0,0,20,0,0,0,0,0,0,1446,512,0,1,1446,0,0,0,0,0
512,0,0,1365463616,1,2,1,0,0,20,0,0,0,0,0,0,1447,512,0,1,1447,0,0,0,0,0
1975808,0,4717865,4717865,0,2,0,0,32,1.22E-05,57984,0,0,1,0.021290896,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,752,0,32,3.63E-05,5566,1,0,1,0.021327178,0,57984,83,0,4718617,57984,0,0,0,0,1
1975808,0,4718617,4718617,0,2,0,0,32,5.67E-06,57984,0,0,1,0.021332846,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,3.98E-05,5566,0,0,1,0.021372646,0,57984,83,0,4783777,57984,0,0,0,0,1
1975808,0,4783777,4783777,0,2,0,0,32,1.61E-05,57984,0,0,1,0.021388706,0,5566,3859,0,1,5566,0,0,0,0,1
512,0,0,1246342765,2,2,1,0,0,20,0,0,0,0,0,0,1448,512,0,1,1448,0,0,0,0,0
512,0,0,860642214,3,2,1,0,0,20,0,0,0,0,0,0,1449,512,0,1,1449,0,0,0,0,0
512,0,0,1146104215,4,2,1,0,0,20,0,0,0,0,0,0,1450,512,0,1,1450,0,0,0,0,0
42496,0,1,1,0,2,65160,0,32,4.50E-05,5566,0,0,1,0.021683721,0,57984,83,0,4914849,57984,0,0,0,0,1
1975808,0,4914849,4914849,0,2,0,0,32,1.64E-05,57984,0,0,1,0.021700125,0,5566,3859,0,1,5566,0,0,0,0,1
1975808,0,4980761,4980761,0,2,0,0,32,7.43E-06,57984,0,0,1,0.022023227,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,4.36E-05,5566,0,0,1,0.022066832,0,57984,83,0,5045921,57984,0,0,0,0,1
512,0,0,344724992,190,2,1,0,0,20,0,0,0,0,0,0,1636,512,0,1,1636,0,0,0,0,0
512,0,0,649243930,191,2,1,0,0,20,0,0,0,0,0,0,1637,512,0,1,1637,0,0,0,0,0
512,0,0,1448524451,192,2,1,0,0,20,0,0,0,0,0,0,1638,512,0,1,1638,0,0,0,0,0
512,0,0,1985759384,193,2,1,0,0,20,0,0,0,0,0,0,1639,512,0,1,1639,0,0,0,0,0
512,0,0,2130472061,194,2,1,0,0,20,0,0,0,0,0,0,1640,512,0,1,1640,0,0,0,0,0
512,0,0,569344664,195,2,1,0,0,20,0,0,0,0,0,0,1641,512,0,1,1641,0,0,0,0,0
42496,0,1,1,0,2,65160,0,32,4.12E-05,5566,0,0,1,0.022124254,0,57984,83,0,5111081,57984,0,0,0,0,1
1975808,0,5111081,5111081,0,2,0,0,32,1.31E-05,57984,0,0,1,0.022137395,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,752,0,32,3.65E-05,5566,1,0,1,0.022173937,0,57984,83,0,5111833,57984,0,0,0,0,1
1975808,0,5111833,5111833,0,2,0,0,32,6.13E-06,57984,0,0,1,0.022180063,0,5566,3859,0,1,5566,0,0,0,0,1
42496,0,1,1,0,2,65160,0,32,4.06E-05,5566,0,0,1,0.022220632,0,57984,83,0,5176993,57984,0,0,0,0,1
1975808,0,5176993,5176993,0,2,0,0,32,1.42E-05,57984,0,0,1,0.022234856,0,5566,3859,0,1,5566,0,0,0,0,1
